Species Name,Month,Frequency
Common Sandpiper,1,3
Common Sandpiper,2,3
Common Sandpiper,3,3
Common Sandpiper,4,2
Common Sandpiper,5,1
Common Sandpiper,6,1
Common Sandpiper,7,1
Common Sandpiper,8,1
Common Sandpiper,9,2
Common Sandpiper,10,3
Common Sandpiper,11,3
Common Sandpiper,12,3
Channel-billed Cuckoo,1,3
Channel-billed Cuckoo,2,2
Channel-billed Cuckoo,3,2
Channel-billed Cuckoo,4,1
Channel-billed Cuckoo,5,1
Channel-billed Cuckoo,6,1
Channel-billed Cuckoo,7,1
Channel-billed Cuckoo,8,2
Channel-billed Cuckoo,9,2
Channel-billed Cuckoo,10,2
Channel-billed Cuckoo,11,3
Channel-billed Cuckoo,12,3
Bar-tailed Godwit,1,3
Bar-tailed Godwit,2,3
Bar-tailed Godwit,3,3
Bar-tailed Godwit,4,3
Bar-tailed Godwit,5,1
Bar-tailed Godwit,6,1
Bar-tailed Godwit,7,1
Bar-tailed Godwit,8,2
Bar-tailed Godwit,9,3
Bar-tailed Godwit,10,3
Bar-tailed Godwit,11,3
Bar-tailed Godwit,12,3
